"","X","Threshold","Sensitivity","Specificity","Accuracy","AUC"
"1","3%",NA,NA,NA,NA,NA
"2","Full 0.5",0.5,0.6,100,96.9,95.1
"11","Full Youden",0.049,91.4,91.6,91.6,95.1
"4","Down 0.5",0.5,90.6,91.9,91.9,95.1
"3","Down Youden",0.546,91.4,91.6,91.6,95.1
"6","Up 0.5",0.5,90.5,92,92,95.1
"5","Up Youden",0.545,91.4,91.6,91.6,95.1
"8","SMOTE 0.5",0.5,90.2,92.3,92.3,95.1
"7","SMOTE Youden",0.483,91.4,91.6,91.6,95.1
"10","5%",NA,NA,NA,NA,NA
"21","Full 0.5",0.5,30.6,98.7,95.2,95.9
"12","Full Youden",0.065,89.5,92.6,92.4,95.9
"41","Down 0.5",0.5,88.7,92.9,92.6,95.9
"31","Down Youden",0.526,89.5,92.6,92.4,95.9
"61","Up 0.5",0.5,88.7,92.9,92.7,95.9
"51","Up Youden",0.526,89.5,92.6,92.4,95.9
"81","SMOTE 0.5",0.5,87.8,93.8,93.5,95.9
"71","SMOTE Youden",0.459,89.5,92.6,92.4,95.9
"19","10%",NA,NA,NA,NA,NA
"22","Full 0.5",0.5,76,97.2,95.1,95.4
"13","Full Youden",0.103,87.7,89.6,89.4,95.4
"42","Down 0.5",0.5,87.5,89.3,89.2,95.4
"32","Down Youden",0.504,87.7,89.6,89.4,95.4
"62","Up 0.5",0.5,87.5,89.4,89.2,95.4
"52","Up Youden",0.503,87.7,89.6,89.4,95.4
"82","SMOTE 0.5",0.5,83.3,93,92,95.4
"72","SMOTE Youden",0.432,87.7,89.6,89.4,95.4
"28","50%",NA,NA,NA,NA,NA
"23","Full 0.5",0.5,87.2,87.6,87.4,92.1
"14","Full Youden",0.488,87,87.8,87.4,92.1
"43","Down 0.5",0.5,87.2,87.6,87.4,92.1
"33","Down Youden",0.486,87,87.8,87.4,92.1
"63","Up 0.5",0.5,87.2,87.6,87.4,92.1
"53","Up Youden",0.486,87,87.8,87.4,92.1
"83","SMOTE 0.5",0.5,87.1,87.7,87.4,92.1
"73","SMOTE Youden",0.527,87,87.8,87.4,92.1
